resource_id,fte_assigned,billable_hours,bench_time,overallocated
1,257.96,8,120.88,0
2,286.89,16,332.29,1
3,260.84,1,116.83,0
4,486.37,17,474.26,1
5,311.3,30,215.56,0
6,288.46,6,304.12,1
7,150.53,31,93.56,0
8,281.71,40,412.91,1
9,239.09,49,401.69,1
10,308.93,5,339.86,1
11,465.92,3,290.02,1
12,130.48,47,84.51,0
13,161.62,29,363.56,0
14,201.63,2,412.52,1
15,142.43,29,145.73,0
16,181.51,18,316.6,0
17,468.75,16,97.35,0
18,195.16,3,21.95,0
19,389.58,58,238.38,1
20,29.88,6,428.27,0
21,156.34,39,36.03,0
22,354.27,28,447.79,1
23,231.6,3,97.42,0
24,446.03,41,483.56,1
25,223.2,48,121.19,0
26,315.54,56,190.32,0
27,296.84,4,125.62,0
28,303.57,9,370.41,1
29,331.29,56,89.74,0
30,260.53,51,465.02,1
31,104.9,48,93.39,0
32,43.79,34,18.14,0
33,133.5,7,469.65,1
34,56.64,10,368.86,0
35,65.43,30,161.2,0
36,147.49,35,234.59,0
37,300.33,28,236.85,0
38,178.18,36,451.34,1
39,391.15,29,284.6,1
40,483.04,36,74.72,1
41,172.6,42,342.91,0
42,125.78,3,176.02,0
43,347.04,22,348.17,1
44,290.61,17,175.82,0
45,387.08,15,241.47,1
46,312.29,33,106.34,0
47,146.96,56,62.15,0
48,456.44,50,181.12,1
49,290.74,14,314.71,1
50,361.97,46,166.07,0
51,339.46,17,131.25,0
52,387.2,21,400.92,1
53,378.68,2,133.01,0
54,211.05,59,484.47,1
55,28.58,56,290.11,0
56,247.64,6,358.84,1
57,448.72,19,419.17,1
58,80.83,26,226.83,0
59,393.19,4,381.39,1
60,331.13,28,199.36,0
61,355.78,8,448.15,1
62,116.87,19,496.38,1
63,46.91,39,296.21,0
64,141.21,33,66.11,0
65,315.38,32,384.35,1
66,200.41,54,365.01,1
67,134.85,4,164.21,0
68,204.56,20,150.82,0
69,366.67,43,440.47,1
70,135.2,44,74.68,0
71,276.91,50,483.79,1
72,209.13,37,461.95,1
73,496.6,18,280.77,1
74,428.39,8,30.61,0
75,364.03,56,27.29,0
76,279.81,6,144.02,0
77,205.15,28,169.28,0
78,342.12,33,386.74,1
79,422.66,46,485.59,1
80,78.6,47,318.93,0
81,29.55,28,363.26,0
82,235.21,55,467.18,1
83,142.16,13,243.29,0
84,443.73,31,381.71,1
85,139.28,51,133.71,0
86,457.42,54,107.01,1
87,255.51,53,276.49,0
88,419.15,13,354.44,1
89,232.04,8,440.46,1
90,360.91,22,374.03,1
91,489.2,7,340.94,1
92,91.38,20,91.63,0
93,136.42,18,58.24,0
94,262.65,47,58.34,0
95,195.47,36,372.35,1
96,402.75,20,264.82,1
97,462.48,29,288.32,1
98,290.59,50,479.83,1
99,75.03,21,68.66,0
100,194.5,8,27.75,0
101,159.67,25,340.88,0
102,326.03,18,476.74,1
103,134.46,40,197.32,0
104,51.67,51,381.96,0
105,260.15,12,451.27,1
106,147.13,9,192.66,0
107,253.67,43,18.17,0
108,179.44,44,231.93,0
109,384.91,44,102.47,0
110,136.65,24,155.06,0
111,368.1,52,442.12,1
112,66.34,4,351.76,0
113,392.42,23,40.59,0
114,498.63,47,153.29,1
115,147.93,2,92.68,0
116,499.85,48,340.33,1
117,314.75,46,251.4,1
118,289.4,15,276.86,0
119,135.25,15,128.6,0
120,338.38,13,187.67,0
121,228.81,2,69.79,0
122,300.79,2,138.4,0
123,244.94,23,189.18,0
124,393.24,53,52.67,0
125,268.24,43,385.35,1
126,173.28,13,378.69,0
127,166.01,47,235.42,0
128,284.63,34,450.03,1
129,483.92,29,460.75,1
130,59.74,8,260.25,0
131,20.28,10,21.15,0
132,230.48,56,425.43,1
133,98.59,42,270.93,0
134,454.73,34,192.81,1
135,288.31,31,66.0,0
136,411.64,52,400.72,1
137,410.58,41,270.41,1
138,15.59,31,466.17,0
139,441.21,57,159.8,1
140,218.48,46,192.56,0
141,120.99,44,300.83,0
142,435.27,46,136.66,1
143,418.62,56,75.68,0
144,437.48,25,397.98,1
145,444.0,46,308.2,1
146,479.6,57,252.01,1
147,135.18,6,32.34,0
148,128.7,24,195.51,0
149,37.98,28,463.58,0
150,377.38,24,476.89,1
151,193.46,2,93.96,0
152,338.27,43,54.35,0
153,403.12,15,384.54,1
154,135.23,15,440.24,1
155,496.55,59,247.29,1
156,303.21,45,152.26,0
157,446.57,44,236.38,1
158,262.26,7,59.31,0
159,456.33,26,345.54,1
160,249.17,4,12.01,0
161,406.67,34,399.37,1
162,194.91,37,490.95,1
163,10.16,9,19.31,0
164,365.35,12,119.95,0
165,66.09,4,45.75,0
166,473.1,7,147.87,1
167,287.43,2,425.94,1
