project_id,start_date,end_date,planned_duration_days,actual_duration_days,team_size,budget,actual_spent,risk_level,complexity,domain,scope_changes,satisfaction_rating,budget_overrun_percentage,success_metric,success
1,2023-08-02,2024-06-06,360,309,11,470576.2988028694,400999.21550608013,3,Low,Marketing,10,4.02,-14.79,100.0,1
2,2020-08-16,2021-04-13,240,240,24,337221.7672295077,296331.74633943103,4,High,HR,8,4.29,-12.13,79.16,1
3,2020-02-21,2021-11-28,720,646,19,282513.315841955,318967.53735045006,1,Medium,Marketing,6,2.76,12.9,83.6,1
4,2021-07-17,2022-07-21,390,369,15,345700.0978250751,349017.82412480435,2,High,Finance,5,2.98,0.96,78.81,1
5,2021-05-16,2021-12-18,270,216,12,246052.80440505096,303293.6297119413,3,Low,Finance,0,3.41,23.26,91.46,1
6,2021-04-02,2022-07-21,510,475,25,378517.69245281833,482788.01527853915,2,High,IT,0,3.69,27.55,69.15,1
7,2020-10-12,2021-06-08,240,239,11,71472.25746124196,81125.44896348663,2,Medium,Finance,1,3.23,13.51,84.03,1
8,2020-07-28,2022-03-31,660,611,30,304716.7447223343,286191.113157908,3,Low,R&D,5,3.97,-6.08,100.0,1
9,2023-10-17,2024-09-01,330,320,23,121390.90143912096,152732.7002210313,2,Low,Marketing,5,3.71,25.82,81.61,1
10,2023-01-21,2025-03-09,720,778,27,104074.09151253899,117586.592743201,3,High,Finance,1,4.75,12.98,73.64,1
11,2020-06-27,2022-09-28,660,823,15,203845.8500223807,178764.57593732196,1,High,HR,0,3.67,-12.3,93.3,1
12,2023-04-24,2024-10-05,420,530,15,91309.57961604884,81285.80140521124,3,Low,IT,9,2.4,-10.98,81.8,1
13,2022-05-14,2024-05-08,630,725,28,92370.64472085205,122625.9121388294,3,Medium,Marketing,4,4.09,32.75,57.21,0
14,2020-03-06,2021-07-13,660,494,25,190135.9892260824,247684.52266571217,4,High,IT,4,3.99,30.27,59.8,0
15,2020-03-02,2020-07-20,150,140,8,490779.73787967884,392623.7903037431,3,High,Marketing,1,3.4,-20.0,99.15,1
16,2020-07-10,2021-11-05,510,483,12,128898.62145020234,115535.87740276611,3,High,HR,5,4.07,-10.37,88.24,1
